database_track_id,source_track_id,database_track_name,track_id,artists,name
22637,6V2ycd5EqUqAl9r6NHqjNN,不刪,6V2ycd5EqUqAl9r6NHqjNN,['井朧'],不刪
22954,5s4QzwC0sCKwFQI0Jm1kMH,"聽說有個人,在紐約等著我",5s4QzwC0sCKwFQI0Jm1kMH,['范安婷'],"聽說有個人,在紐約等著我"
23051,3tzi8a5FEO3bczurgbNuAJ,Tomorrow will be fine.,3tzi8a5FEO3bczurgbNuAJ,['演唱：蘇打綠'],Tomorrow will be fine.
23717,4GMsLvtWIlSnUzWFiN3vXV,スマイル,4GMsLvtWIlSnUzWFiN3vXV,['森七菜'],スマイル
23898,60qCp3UdTSqyWqbemPsyXh,يفوت العمر,60qCp3UdTSqyWqbemPsyXh,['مسلم'],يفوت العمر
23971,2j6WSOZxNf9csRAotwwRMl,Перезимую,2j6WSOZxNf9csRAotwwRMl,"['Наша Таня', 'Три дня дождя']",Перезимую
24218,4gmP3i06rFVKIJYoVRssxa,願榮光歸香港(進行曲),4gmP3i06rFVKIJYoVRssxa,['湯瑪仕與眾香港人'],願榮光歸香港(進行曲)
24459,0IVr8Ihugepu33L6FsGXXi,轉來啦,0IVr8Ihugepu33L6FsGXXi,['新寶島康樂隊'],轉來啦
24556,5XIQxHGp9glGY6LRKl0qth,На твиче,5XIQxHGp9glGY6LRKl0qth,['нексюша'],На твиче
24742,6seh6pTdrtisyUx4R6eI4u,ピアノソナタ第8番「悲愴」 第2楽章,6seh6pTdrtisyUx4R6eI4u,['井谷俊二'],ピアノソナタ第8番「悲愴」 第2楽章
24904,4ZXE5Lwt3DiQ1J66nP8YQj,Мой байк,4ZXE5Lwt3DiQ1J66nP8YQj,['СЕРЕГА ПИРАТ'],Мой байк
24973,4fGAadpgdJnGHtPmcPwDNT,عائلة 25,4fGAadpgdJnGHtPmcPwDNT,['ريكلس'],عائلة 25
25174,3OadSO0Y0Xz8W4r0aOny9d,Одна,3OadSO0Y0Xz8W4r0aOny9d,"['АДЛИН', 'Килджо']",Одна
25265,7KXhgqoNmwlg2In6vCi2po,Эйя,7KXhgqoNmwlg2In6vCi2po,['Канги'],Эйя
25347,0qmF7YXfxp15wDexlK1tTt,最低,0qmF7YXfxp15wDexlK1tTt,['れん'],最低
25395,3QP3cYE3qnplFueLKNVsbM,哪里都是你,3QP3cYE3qnplFueLKNVsbM,['队长'],哪里都是你
25419,026RoEzKLsoEVD1rHR2pm9,Никогда,026RoEzKLsoEVD1rHR2pm9,['Руслан Утюг'],Никогда
25426,680N3hRpAFZh75fCzswOi7,Я и одиночество,680N3hRpAFZh75fCzswOi7,['Три дня дождя'],Я и одиночество
25483,2WBVjfhKzYXc6fhdpT0TtC,可不可以 - 抖音热歌,2WBVjfhKzYXc6fhdpT0TtC,['张紫豪'],可不可以 - 抖音热歌
25505,46FGVzlUEtTYfSYamzBKTB,Fight for your heart,46FGVzlUEtTYfSYamzBKTB,['三浦春馬'],Fight for your heart
25790,6t1ODAVbCVRQas6OyaGXQP,На грязном (Диана),6t1ODAVbCVRQas6OyaGXQP,['Платина'],На грязном (Диана)
25954,1W9UTzwtQTrgNkcfoYlfgj,歡樂小姐,1W9UTzwtQTrgNkcfoYlfgj,['陳凱彤'],歡樂小姐
25962,4oNbnRaCAk6NNNVkvns7xV,COLORFUL,4oNbnRaCAk6NNNVkvns7xV,['婁峻碩'],COLORFUL
26008,47O6EPP78iQOOma2OVsYwS,星辰大海,47O6EPP78iQOOma2OVsYwS,['黄霄雲'],星辰大海
26022,0FAXXXMCDGgvFkh4zWwLDl,邊緣人,0FAXXXMCDGgvFkh4zWwLDl,['玖壹壹'],邊緣人
26210,3SJUczvQpCvWExiir6dqC7,て,3SJUczvQpCvWExiir6dqC7,['上野大樹'],て
26275,5EIfRhrHwSCa4rhA4jXyES,夢一場,5EIfRhrHwSCa4rhA4jXyES,['那英'],夢一場
